[07:38:31] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG= 1.31 , Temp=46.6
[07:38:33] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG= 1.31 , Temp=46.6
[07:38:35] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG= 1.31 , Temp=46.5
[07:38:37] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG= 1.31 , Temp=46.5
[07:38:39] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG= 1.31 , Temp=46.5
[07:38:41] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG= 1.31 , Temp=46.5
[07:38:43] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG= 1.31 , Temp=46.5
[07:38:45] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG= 1.31 , Temp=46.4
[07:38:47] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG= 1.31 , Temp=46.4
[07:38:49] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG= 1.31 , Temp=46.4
[07:38:51] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG= 1.31 , Temp=46.4
[07:38:53] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG= 1.31 , Temp=46.4
[07:38:55] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG= 1.30 , Temp=46.3
[07:38:57] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG= 1.30 , Temp=46.3
[07:38:59] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG= 1.30 , Temp=46.3
[07:39:01] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG= 1.30 , Temp=46.2
[07:39:03] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG= 1.30 , Temp=46.2
[07:39:05] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG= 1.30 , Temp=46.2
[07:39:07] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG= 1.30 , Temp=46.2
[07:39:09] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG= 1.30 , Temp=46.2
[07:39:11] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG= 1.30 , Temp=46.1
[07:39:13] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG= 1.30 , Temp=46.1
[07:39:15] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG= 1.30 , Temp=46.1
[07:39:17] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG= 1.30 , Temp=46.1
[07:39:19] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG= 1.30 , Temp=46.1
[07:39:21] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG= 1.30 , Temp=46.0
[07:39:23] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG= 1.30 , Temp=46.0
[07:39:25] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG= 1.29 , Temp=46.0
[07:39:27] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG= 1.29 , Temp=46.0
[07:39:29] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG= 1.29 , Temp=46.0
[07:39:31] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG= 1.29 , Temp=45.9
[07:39:33] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG= 1.29 , Temp=45.9
[07:39:35] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG= 1.29 , Temp=45.9
[07:39:37] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG= 1.29 , Temp=45.9
[07:39:39] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG= 1.29 , Temp=45.9
[07:39:41] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL=10.77 , SG= 1.29 , Temp=45.8
[07:39:43] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL=10.77 , SG= 1.29 , Temp=45.8
[07:39:45] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL=10.72 , SG= 1.29 , Temp=45.8
[07:39:47] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL=10.72 , SG= 1.29 , Temp=45.8
[07:39:49] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL=10.72 , SG= 1.29 , Temp=45.8
[07:39:51] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL=10.67 , SG= 1.29 , Temp=45.7
[07:39:53] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL=10.67 , SG= 1.29 , Temp=45.7
[07:39:55] R= 536 , G= 536 , B= 536 , ORP= 588 , HCL=10.62 , SG= 1.28 , Temp=45.7
[07:39:57] R= 536 , G= 536 , B= 536 , ORP= 588 , HCL=10.62 , SG= 1.28 , Temp=45.7
[07:39:59] R= 536 , G= 536 , B= 536 , ORP= 588 , HCL=10.62 , SG= 1.28 , Temp=45.7
[07:40:01] R= 543 , G= 543 , B= 543 , ORP= 589 , HCL=10.57 , SG= 1.28 , Temp=45.6
[07:40:03] R= 543 , G= 543 , B= 543 , ORP= 589 , HCL=10.57 , SG= 1.28 , Temp=45.6
[07:40:05] R= 549 , G= 549 , B= 549 , ORP= 589 , HCL=10.51 , SG= 1.28 , Temp=45.6
[07:40:07] R= 549 , G= 549 , B= 549 , ORP= 589 , HCL=10.51 , SG= 1.28 , Temp=45.6
[07:40:09] R= 549 , G= 549 , B= 549 , ORP= 589 , HCL=10.51 , SG= 1.28 , Temp=45.6
[07:40:11] R= 556 , G= 556 , B= 556 , ORP= 589 , HCL=10.46 , SG= 1.28 , Temp=45.5
[07:40:13] R= 556 , G= 556 , B= 556 , ORP= 589 , HCL=10.46 , SG= 1.28 , Temp=45.5
[07:40:15] R= 562 , G= 562 , B= 562 , ORP= 589 , HCL=10.40 , SG= 1.28 , Temp=45.5
[07:40:17] R= 562 , G= 562 , B= 562 , ORP= 589 , HCL=10.40 , SG= 1.28 , Temp=45.5
[07:40:19] R= 562 , G= 562 , B= 562 , ORP= 589 , HCL=10.40 , SG= 1.28 , Temp=45.5
[07:40:21] R= 568 , G= 568 , B= 568 , ORP= 589 , HCL=10.35 , SG= 1.28 , Temp=45.5
[07:40:23] R= 568 , G= 568 , B= 568 , ORP= 589 , HCL=10.35 , SG= 1.28 , Temp=45.5
[07:40:25] R= 574 , G= 574 , B= 574 , ORP= 589 , HCL=10.29 , SG= 1.27 , Temp=45.4
[07:40:27] R= 574 , G= 574 , B= 574 , ORP= 589 , HCL=10.29 , SG= 1.27 , Temp=45.4
[07:40:29] R= 574 , G= 574 , B= 574 , ORP= 589 , HCL=10.29 , SG= 1.27 , Temp=45.4
[07:40:31] R= 580 , G= 580 , B= 580 , ORP= 589 , HCL=10.23 , SG= 1.27 , Temp=45.4
[07:40:33] R= 580 , G= 580 , B= 580 , ORP= 589 , HCL=10.23 , SG= 1.27 , Temp=45.4
[07:40:35] R= 587 , G= 587 , B= 587 , ORP= 589 , HCL=10.17 , SG= 1.27 , Temp=45.3
[07:40:37] R= 587 , G= 587 , B= 587 , ORP= 589 , HCL=10.17 , SG= 1.27 , Temp=45.3
[07:40:39] R= 587 , G= 587 , B= 587 , ORP= 589 , HCL=10.17 , SG= 1.27 , Temp=45.3
[07:40:41] R= 593 , G= 593 , B= 593 , ORP= 589 , HCL=10.11 , SG= 1.27 , Temp=45.3
[07:40:43] R= 593 , G= 593 , B= 593 , ORP= 589 , HCL=10.11 , SG= 1.27 , Temp=45.3
[07:40:45] R= 599 , G= 599 , B= 599 , ORP= 589 , HCL=10.06 , SG= 1.27 , Temp=45.3
[07:40:47] R= 599 , G= 599 , B= 599 , ORP= 589 , HCL=10.06 , SG= 1.27 , Temp=45.3
[07:40:49] R= 599 , G= 599 , B= 599 , ORP= 589 , HCL=10.06 , SG= 1.27 , Temp=45.3
[07:40:51] R= 604 , G= 604 , B= 604 , ORP= 589 , HCL=10.00 , SG= 1.27 , Temp=45.3
[07:40:53] R= 604 , G= 604 , B= 604 , ORP= 589 , HCL=10.00 , SG= 1.27 , Temp=45.3
[07:40:55] R= 610 , G= 610 , B= 610 , ORP= 589 , HCL=9.93 , SG= 1.26 , Temp=45.2
[07:40:57] R= 610 , G= 610 , B= 610 , ORP= 589 , HCL=9.93 , SG= 1.26 , Temp=45.2
[07:40:59] R= 610 , G= 610 , B= 610 , ORP= 589 , HCL=9.93 , SG= 1.26 , Temp=45.2
[07:41:01] R= 616 , G= 616 , B= 616 , ORP= 589 , HCL=9.87 , SG= 1.26 , Temp=45.2
[07:41:03] R= 616 , G= 616 , B= 616 , ORP= 589 , HCL=9.87 , SG= 1.26 , Temp=45.2
[07:41:05] R= 622 , G= 622 , B= 622 , ORP= 589 , HCL=9.81 , SG= 1.26 , Temp=45.2
[07:41:07] R= 622 , G= 622 , B= 622 , ORP= 589 , HCL=9.81 , SG= 1.26 , Temp=45.2
[07:41:09] R= 622 , G= 622 , B= 622 , ORP= 589 , HCL=9.81 , SG= 1.26 , Temp=45.2
[07:41:11] R= 628 , G= 628 , B= 628 , ORP= 589 , HCL=9.75 , SG= 1.26 , Temp=45.1
[07:41:13] R= 628 , G= 628 , B= 628 , ORP= 589 , HCL=9.75 , SG= 1.26 , Temp=45.1
[07:41:15] R= 633 , G= 633 , B= 633 , ORP= 589 , HCL=9.69 , SG= 1.26 , Temp=45.1
[07:41:17] R= 633 , G= 633 , B= 633 , ORP= 589 , HCL=9.69 , SG= 1.26 , Temp=45.1
[07:41:19] R= 633 , G= 633 , B= 633 , ORP= 589 , HCL=9.69 , SG= 1.26 , Temp=45.1
[07:41:21] R= 639 , G= 639 , B= 639 , ORP= 589 , HCL=9.62 , SG= 1.26 , Temp=45.1
[07:41:23] R= 639 , G= 639 , B= 639 , ORP= 589 , HCL=9.62 , SG= 1.26 , Temp=45.1
[07:41:25] R= 644 , G= 644 , B= 644 , ORP= 589 , HCL=9.56 , SG= 1.25 , Temp=45.1
