[22:06:54] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL=11.42 , SG=1.315 , Temp=46.7
[22:06:56] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL=11.42 , SG=1.315 , Temp=46.7
[22:06:58] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[22:07:00] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[22:07:02] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[22:07:04] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[22:07:06] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[22:07:08] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[22:07:10] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[22:07:12] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[22:07:14] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[22:13:56] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[22:13:58] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[22:14:00] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[22:14:02] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[22:14:04] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[22:14:06] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[22:14:08] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[22:14:10] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[22:14:12] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[22:14:14] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG=1.306 , Temp=46.4
[22:14:16] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG=1.306 , Temp=46.4
[22:14:18] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[22:14:20] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[22:14:22] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[22:14:24] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[22:14:26] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[22:14:28] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[22:14:30] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[22:14:32] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[22:14:34] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[22:14:36] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[22:14:38] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[22:14:40] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[22:14:42] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[22:14:44] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[22:14:46] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[22:14:48] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[22:14:50] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[22:14:52] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[22:14:54] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[22:14:56] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[22:14:58] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG=1.291 , Temp=45.9
[22:15:00] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG=1.291 , Temp=45.9
[22:15:02] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL=10.77 , SG=1.289 , Temp=45.8
[22:15:04] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL=10.77 , SG=1.289 , Temp=45.8
[22:15:06] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL=10.77 , SG=1.289 , Temp=45.8
[22:15:08] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL=10.72 , SG=1.287 , Temp=45.8
[22:15:10] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL=10.72 , SG=1.287 , Temp=45.8
[22:15:12] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL=10.67 , SG=1.286 , Temp=45.7
[22:15:14] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL=10.67 , SG=1.286 , Temp=45.7
[22:15:16] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL=10.67 , SG=1.286 , Temp=45.7
[22:15:18] R= 536 , G= 536 , B= 536 , ORP= 588 , HCL=10.62 , SG=1.284 , Temp=45.7
[22:15:20] R= 536 , G= 536 , B= 536 , ORP= 588 , HCL=10.62 , SG=1.284 , Temp=45.7
[22:15:22] R= 543 , G= 543 , B= 543 , ORP= 589 , HCL=10.57 , SG=1.282 , Temp=45.6
[22:15:24] R= 543 , G= 543 , B= 543 , ORP= 589 , HCL=10.57 , SG=1.282 , Temp=45.6
[22:15:26] R= 543 , G= 543 , B= 543 , ORP= 589 , HCL=10.57 , SG=1.282 , Temp=45.6
[22:15:28] R= 549 , G= 549 , B= 549 , ORP= 589 , HCL=10.51 , SG=1.280 , Temp=45.6
[22:15:30] R= 549 , G= 549 , B= 549 , ORP= 589 , HCL=10.51 , SG=1.280 , Temp=45.6
[22:15:32] R= 556 , G= 556 , B= 556 , ORP= 589 , HCL=10.46 , SG=1.279 , Temp=45.5
[22:15:34] R= 556 , G= 556 , B= 556 , ORP= 589 , HCL=10.46 , SG=1.279 , Temp=45.5
[22:15:36] R= 556 , G= 556 , B= 556 , ORP= 589 , HCL=10.46 , SG=1.279 , Temp=45.5
[22:15:38] R= 562 , G= 562 , B= 562 , ORP= 589 , HCL=10.40 , SG=1.277 , Temp=45.5
[22:15:40] R= 562 , G= 562 , B= 562 , ORP= 589 , HCL=10.40 , SG=1.277 , Temp=45.5
[22:15:42] R= 568 , G= 568 , B= 568 , ORP= 589 , HCL=10.35 , SG=1.275 , Temp=45.5
[22:15:44] R= 568 , G= 568 , B= 568 , ORP= 589 , HCL=10.35 , SG=1.275 , Temp=45.5
[22:15:46] R= 568 , G= 568 , B= 568 , ORP= 589 , HCL=10.35 , SG=1.275 , Temp=45.5
[22:15:48] R= 574 , G= 574 , B= 574 , ORP= 589 , HCL=10.29 , SG=1.274 , Temp=45.4
[22:15:50] R= 574 , G= 574 , B= 574 , ORP= 589 , HCL=10.29 , SG=1.274 , Temp=45.4
[22:15:52] R= 580 , G= 580 , B= 580 , ORP= 589 , HCL=10.23 , SG=1.272 , Temp=45.4
[22:15:54] R= 580 , G= 580 , B= 580 , ORP= 589 , HCL=10.23 , SG=1.272 , Temp=45.4
[22:15:56] R= 580 , G= 580 , B= 580 , ORP= 589 , HCL=10.23 , SG=1.272 , Temp=45.4
[22:15:58] R= 587 , G= 587 , B= 587 , ORP= 589 , HCL=10.17 , SG=1.270 , Temp=45.3
[22:16:00] R= 587 , G= 587 , B= 587 , ORP= 589 , HCL=10.17 , SG=1.270 , Temp=45.3
[22:16:02] R= 593 , G= 593 , B= 593 , ORP= 589 , HCL=10.11 , SG=1.269 , Temp=45.3
[22:16:04] R= 593 , G= 593 , B= 593 , ORP= 589 , HCL=10.11 , SG=1.269 , Temp=45.3
[22:16:06] R= 593 , G= 593 , B= 593 , ORP= 589 , HCL=10.11 , SG=1.269 , Temp=45.3
[22:16:08] R= 599 , G= 599 , B= 599 , ORP= 589 , HCL=10.06 , SG=1.267 , Temp=45.3
[22:16:10] R= 599 , G= 599 , B= 599 , ORP= 589 , HCL=10.06 , SG=1.267 , Temp=45.3
[22:16:13] R= 604 , G= 604 , B= 604 , ORP= 589 , HCL=10.00 , SG=1.265 , Temp=45.3
[22:16:15] R= 604 , G= 604 , B= 604 , ORP= 589 , HCL=10.00 , SG=1.265 , Temp=45.3
[22:16:17] R= 604 , G= 604 , B= 604 , ORP= 589 , HCL=10.00 , SG=1.265 , Temp=45.3
[22:16:19] R= 610 , G= 610 , B= 610 , ORP= 589 , HCL= 9.93 , SG=1.264 , Temp=45.2
[22:16:21] R= 610 , G= 610 , B= 610 , ORP= 589 , HCL= 9.93 , SG=1.264 , Temp=45.2
[22:16:23] R= 616 , G= 616 , B= 616 , ORP= 589 , HCL= 9.87 , SG=1.262 , Temp=45.2
[22:16:25] R= 616 , G= 616 , B= 616 , ORP= 589 , HCL= 9.87 , SG=1.262 , Temp=45.2
[22:16:27] R= 616 , G= 616 , B= 616 , ORP= 589 , HCL= 9.87 , SG=1.262 , Temp=45.2
[22:16:29] R= 622 , G= 622 , B= 622 , ORP= 589 , HCL= 9.81 , SG=1.260 , Temp=45.2
[22:16:31] R= 622 , G= 622 , B= 622 , ORP= 589 , HCL= 9.81 , SG=1.260 , Temp=45.2
[22:16:33] R= 628 , G= 628 , B= 628 , ORP= 589 , HCL= 9.75 , SG=1.259 , Temp=45.1
[22:16:35] R= 628 , G= 628 , B= 628 , ORP= 589 , HCL= 9.75 , SG=1.259 , Temp=45.1
[22:16:37] R= 628 , G= 628 , B= 628 , ORP= 589 , HCL= 9.75 , SG=1.259 , Temp=45.1
[22:16:39] R= 633 , G= 633 , B= 633 , ORP= 589 , HCL= 9.69 , SG=1.257 , Temp=45.1
[22:16:41] R= 633 , G= 633 , B= 633 , ORP= 589 , HCL= 9.69 , SG=1.257 , Temp=45.1
[22:16:43] R= 639 , G= 639 , B= 639 , ORP= 589 , HCL= 9.62 , SG=1.256 , Temp=45.1
[22:16:45] R= 639 , G= 639 , B= 639 , ORP= 589 , HCL= 9.62 , SG=1.256 , Temp=45.1
[22:16:47] R= 639 , G= 639 , B= 639 , ORP= 589 , HCL= 9.62 , SG=1.256 , Temp=45.1
[22:16:49] R= 644 , G= 644 , B= 644 , ORP= 589 , HCL= 9.56 , SG=1.254 , Temp=45.1
[22:16:51] R= 644 , G= 644 , B= 644 , ORP= 589 , HCL= 9.56 , SG=1.254 , Temp=45.1
[22:16:53] R= 650 , G= 650 , B= 650 , ORP= 589 , HCL= 9.49 , SG=1.253 , Temp=45.1
[22:16:55] R= 650 , G= 650 , B= 650 , ORP= 589 , HCL= 9.49 , SG=1.253 , Temp=45.1
[22:16:57] R= 650 , G= 650 , B= 650 , ORP= 589 , HCL= 9.49 , SG=1.253 , Temp=45.1
[22:16:59] R= 655 , G= 655 , B= 655 , ORP= 589 , HCL= 9.43 , SG=1.251 , Temp=45.0
[22:17:01] R= 655 , G= 655 , B= 655 , ORP= 589 , HCL= 9.43 , SG=1.251 , Temp=45.0
[22:17:03] R= 660 , G= 660 , B= 660 , ORP= 589 , HCL= 9.36 , SG=1.250 , Temp=45.0
[22:17:05] R= 660 , G= 660 , B= 660 , ORP= 589 , HCL= 9.36 , SG=1.250 , Temp=45.0
[22:17:07] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL= 9.30 , SG=1.248 , Temp=45.0
[22:17:09] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL= 9.30 , SG=1.248 , Temp=45.0
[22:17:11] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL= 9.30 , SG=1.248 , Temp=45.0
[22:17:13] R= 670 , G= 670 , B= 670 , ORP= 588 , HCL= 9.23 , SG=1.247 , Temp=45.0
[22:17:15] R= 670 , G= 670 , B= 670 , ORP= 588 , HCL= 9.23 , SG=1.247 , Temp=45.0
[22:17:17] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL= 9.16 , SG=1.245 , Temp=45.0
[22:17:19] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL= 9.16 , SG=1.245 , Temp=45.0
[22:17:21] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL= 9.16 , SG=1.245 , Temp=45.0
[22:17:23] R= 680 , G= 680 , B= 680 , ORP= 588 , HCL= 9.10 , SG=1.244 , Temp=45.0
[22:17:25] R= 680 , G= 680 , B= 680 , ORP= 588 , HCL= 9.10 , SG=1.244 , Temp=45.0
[22:17:27] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL= 9.03 , SG=1.242 , Temp=45.0
[22:17:29] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL= 9.03 , SG=1.242 , Temp=45.0
[22:17:31] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL= 9.03 , SG=1.242 , Temp=45.0
[22:17:33] R= 690 , G= 690 , B= 690 , ORP= 587 , HCL= 8.96 , SG=1.241 , Temp=45.0
[22:17:35] R= 690 , G= 690 , B= 690 , ORP= 587 , HCL= 8.96 , SG=1.241 , Temp=45.0
